SampleID	DNAPlate	Tube	AnimalID	Year	Cohort2	Cohort	Date	Sex	Diet	Location
S474	7	48	8831	2013	1	UNL1	5/17/13	Steer	Common	UNL
S475	7	56	8833	2013	1	UNL1	5/17/13	Steer	Common	UNL
S406	7	74	8834	2013	1	UNL1	5/17/13	Steer	Common	UNL
S210	1	18	8836	2013	1	UNL1	5/17/13	Steer	Common	UNL
S402	7	42	8839	2013	1	UNL1	5/17/13	Steer	Common	UNL
S405	7	66	8840	2013	1	UNL1	5/17/13	Steer	Common	UNL
S415	7	51	8841	2013	1	UNL1	5/17/13	Steer	Common	UNL
S202	1	10	8843	2013	1	UNL1	5/17/13	Steer	Common	UNL
S449	7	38	8845	2013	1	UNL1	5/17/13	Steer	Common	UNL
S417	7	67	8847	2013	1	UNL1	5/17/13	Steer	Common	UNL
S471	7	24	8848	2013	1	UNL1	5/17/13	Steer	Common	UNL
S392	7	57	8849	2013	1	UNL1	5/17/13	Steer	Common	UNL
S459	7	23	8851	2013	1	UNL1	5/17/13	Steer	Common	UNL
S203	1	11	8855	2013	1	UNL1	5/17/13	Steer	Common	UNL
S457	7	7	8856	2013	1	UNL1	5/17/13	Steer	Common	UNL
S397	7	2	8858	2013	1	UNL1	5/17/13	Steer	Common	UNL
S422	7	12	8859	2013	1	UNL1	5/17/13	Steer	Common	UNL
S473	7	40	8860	2013	1	UNL1	5/17/13	Steer	Common	UNL
S195	1	3	8861	2013	1	UNL1	5/17/13	Steer	Common	UNL
S439	7	53	8862	2013	1	UNL1	5/17/13	Steer	Common	UNL
S440	7	61	8863	2013	1	UNL1	5/17/13	Steer	Common	UNL
S409	7	3	8866	2013	1	UNL1	5/17/13	Steer	Common	UNL
S396	7	89	8867	2013	1	UNL1	5/17/13	Steer	Common	UNL
S222	1	30	8869	2013	1	UNL1	5/17/13	Steer	Common	UNL
S393	7	65	8870	2013	1	UNL1	5/17/13	Steer	Common	UNL
S206	1	14	8871	2013	1	UNL1	5/17/13	Steer	Common	UNL
S461	7	39	8873	2013	1	UNL1	5/17/13	Steer	Common	UNL
S477	7	72	8874	2013	1	UNL1	5/17/13	Steer	Common	UNL
S431	7	84	8875	2013	1	UNL1	5/17/13	Steer	Common	UNL
S460	7	31	8876	2013	1	UNL1	5/17/13	Steer	Common	UNL
S441	7	69	8878	2013	1	UNL1	5/17/13	Steer	Common	UNL
S215	1	23	8879	2013	1	UNL1	5/17/13	Steer	Common	UNL
S476	7	64	8881	2013	1	UNL1	5/17/13	Steer	Common	UNL
S200	1	8	8882	2013	1	UNL1	5/17/13	Steer	Common	UNL
S389	7	33	8934	2013	1	UNL1	5/17/13	Steer	Common	UNL
S418	7	75	8935	2013	1	UNL1	5/17/13	Steer	Common	UNL
S445	7	6	8937	2013	1	UNL1	5/17/13	Steer	Common	UNL
S433	7	5	8938	2013	1	UNL1	5/17/13	Steer	Common	UNL
S407	7	82	8939	2013	1	UNL1	5/17/13	Steer	Common	UNL
S221	1	29	8940	2013	1	UNL1	5/17/13	Steer	Common	UNL
S467	7	87	8941	2013	1	UNL1	5/17/13	Steer	Common	UNL
S454	7	78	8942	2013	1	UNL1	5/17/13	Steer	Common	UNL
S208	1	16	8943	2013	1	UNL1	5/17/13	Steer	Common	UNL
S385	7	1	8945	2013	1	UNL1	5/17/13	Steer	Common	UNL
S443	7	85	8946	2013	1	UNL1	5/17/13	Steer	Common	UNL
S456	7	94	8947	2013	1	UNL1	5/17/13	Steer	Common	UNL
S419	7	83	8949	2013	1	UNL1	5/17/13	Steer	Common	UNL
S209	1	17	8950	2013	1	UNL1	5/17/13	Steer	Common	UNL
S442	7	77	8951	2013	1	UNL1	5/17/13	Steer	Common	UNL
S472	7	32	8952	2013	1	UNL1	5/17/13	Steer	Common	UNL
S421	7	4	8953	2013	1	UNL1	5/17/13	Steer	Common	UNL
S386	7	9	8955	2013	1	UNL1	5/17/13	Steer	Common	UNL
S448	7	30	8957	2013	1	UNL1	5/17/13	Steer	Common	UNL
S455	7	86	8958	2013	1	UNL1	5/17/13	Steer	Common	UNL
S395	7	81	8962	2013	1	UNL1	5/17/13	Steer	Common	UNL
S410	7	11	8963	2013	1	UNL1	5/17/13	Steer	Common	UNL
S213	1	21	8964	2013	1	UNL1	5/17/13	Steer	Common	UNL
